Origin,Edge,Destination,Description
<button id=1 class='com.google.android.contacts:id/nav_manage' description='Fix & manage'> Fix & manage </button><button id=2 class='com.google.android.contacts:id/highlights' description='Highlights'> Highlights </button><div id=3 class='com.google.android.contacts:id/floating_action_button' description='Create contact'>  </div><div id=4 class='' > Company </div><div id=5 class='' > Email contacts </div><div id=6 class='' > Phone contacts </div><div id=7 class='com.google.android.contacts:id/open_search_bar' description='Open navigation drawer;;More options;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search contacts    <p> Search contacts </p>    <button id=8 class='com.google.android.contacts:id/selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <button id=9 class='' description='More options'>  </button>    <div id=10 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <button id=1 class='com.google.android.contacts:id/nav_manage' description='Fix & manage'> Fix & manage </button>,<button id=1 class='com.google.android.contacts:id/highlights' description='Highlights'> Highlights </button><button id=2 class='com.google.android.contacts:id/contacts' description='Contacts'> Contacts </button><div id=3 class='' > Blocked numbers </div><div id=4 class='' > Family group </div><div id=5 class='' > Settings </div><div id=6 class='' > Trash </div><div id=7 class='' > Import from file </div><div id=8 class='' > Restore contacts </div><div id=9 class='' > Manage SIM </div><div id=10 class='' > Merge & fix </div><button id=11 class='com.google.android.contacts:id/selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,Main interface of the Google Contacts application
<button id=1 class='com.google.android.contacts:id/highlights' description='Highlights'> Highlights </button><button id=2 class='com.google.android.contacts:id/contacts' description='Contacts'> Contacts </button><div id=3 class='' > Blocked numbers </div><div id=4 class='' > Family group </div><div id=5 class='' > Settings </div><div id=6 class='' > Trash </div><div id=7 class='' > Import from file </div><div id=8 class='' > Restore contacts </div><div id=9 class='' > Manage SIM </div><div id=10 class='' > Merge & fix </div><button id=11 class='com.google.android.contacts:id/selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,Action: Click on <div id=7 class='' > Import from file </div>,<div id=1 class='android:id/button2' > Cancel </div><div id=2 class='' > Device </div><div id=3 class='' > Bowen Wang    <p> saltyp0rridge20@gmail.com </p> </div>,Device and user information interface
<div id=1 class='' >  </div><div id=2 class='' > Storage    <p> 48% used - 4.15 GB free </p> </div><div id=3 class='' > Battery    <p> 100% </p> </div><div id=4 class='' > Notifications    <p> Notification history;; conversations </p> </div><div id=5 class='' > Apps    <p> Assistant;; recent apps;; default apps </p> </div><div id=6 class='' > Connected devices    <p> Bluetooth;; pairing </p> </div><div id=7 class='' > Network & internet    <p> Mobile;; Wi‑Fi;; hotspot </p> </div><div id=8 class='com.android.settings:id/search_action_bar' > Search settings </div><button id=9 class='com.android.settings:id/account_avatar' description='Profile picture;; double tap to open Google Account'>  </button>,Action: Click on <div id=4 class='' > Notifications    <p> Notification history;; conversations </p> </div>,<div id=1 class='' description='Enhanced notifications'> Enhanced notifications    <p> Get suggested actions;; replies;; and more </p>    <switch id=2 class='com.android.settings:id/switchWidget' clickable> On </switch> </div><div id=3 class='' > Notification dot on app icon    <switch id=4 class='android:id/switch_widget' clickable> On </switch> </div><div id=5 class='' > Allow notification snoozing    <switch id=6 class='android:id/switch_widget' clickable> Off </switch> </div><div id=7 class='' > Hide silent notifications in status bar    <switch id=8 class='android:id/switch_widget' clickable> Off </switch> </div><div id=9 class='' > Wireless emergency alerts </div><div id=10 class='' > Flash notifications    <p> Off </p> </div><div id=11 class='' > Do Not Disturb    <p> Off </p> </div><div id=12 class='' > Notifications on lock screen    <p> Hide silent conversations and notifications </p> </div><div id=13 class='' > Device & app notifications    <p> Control which apps and devices can read notifications </p> </div><div id=14 class='' description='Navigate up'>  </div>,Notifications settings page with various notification options
<div id=1 class='' description='Enhanced notifications'> Enhanced notifications    <p> Get suggested actions;; replies;; and more </p>    <switch id=2 class='com.android.settings:id/switchWidget' clickable> On </switch> </div><div id=3 class='' > Notification dot on app icon    <switch id=4 class='android:id/switch_widget' clickable> On </switch> </div><div id=5 class='' > Allow notification snoozing    <switch id=6 class='android:id/switch_widget' clickable> Off </switch> </div><div id=7 class='' > Hide silent notifications in status bar    <switch id=8 class='android:id/switch_widget' clickable> Off </switch> </div><div id=9 class='' > Wireless emergency alerts </div><div id=10 class='' > Flash notifications    <p> Off </p> </div><div id=11 class='' > Do Not Disturb    <p> Off </p> </div><div id=12 class='' > Notifications on lock screen    <p> Hide silent conversations and notifications </p> </div><div id=13 class='' > Device & app notifications    <p> Control which apps and devices can read notifications </p> </div><div id=14 class='' description='Navigate up'>  </div>,Action: Click on <div id=9 class='' > Wireless emergency alerts </div>,<div id=1 class='' > State and local tests    <p> Receive test messages from state and local authorities </p>    <switch id=2 class='android:id/switch_widget' clickable> Off </switch> </div><div id=3 class='' > Public safety messages    <p> Recommended actions that can save lives or property </p>    <switch id=4 class='android:id/switch_widget' clickable> Off </switch> </div><div id=5 class='' > AMBER alerts    <p> Child abduction emergency bulletins </p>    <switch id=6 class='android:id/switch_widget' clickable> Off </switch> </div><div id=7 class='' > Severe threats    <p> Severe threats to life and property </p>    <switch id=8 class='android:id/switch_widget' clickable> Off </switch> </div><div id=9 class='' > Extreme threats    <p> Extreme threats to life and property </p>    <switch id=10 class='android:id/switch_widget' clickable> Off </switch> </div><button id=11 class='' > Allow alerts    <div id=12 class='com.google.android.cellbroadcastreceiver:id/settingslib_main_switch_bar' > Allow alerts </div>    <switch id=13 class='android:id/switch_widget' clickable> Off </switch> </button><div id=14 class='' description='Navigate up'>  </div>,Emergency alert settings page
<div id=1 class='' > Tips & support    <p> Help articles;; phone & chat </p> </div><div id=2 class='' > About emulated device    <p> sdk_gphone64_arm64 </p> </div><div id=3 class='' > System    <p> Languages;; gestures;; time;; backup </p> </div><div id=4 class='' > Google    <p> Services & preferences </p> </div><div id=5 class='' > Digital Wellbeing & parental controls    <p> Screen time;; app timers;; bedtime schedules </p> </div><div id=6 class='' > Passwords & accounts    <p> Saved passwords;; autofill;; synced accounts </p> </div><div id=7 class='' > Safety & emergency    <p> Emergency SOS;; medical info;; alerts </p> </div><div id=8 class='' > Location    <p> On - 4 apps have access to location </p> </div><div id=9 class='com.android.settings:id/search_action_bar' > Search settings </div>,Action: Click on <div id=3 class='' > System    <p> Languages;; gestures;; time;; backup </p> </div>,<div id=1 class='' > Reset options </div><div id=2 class='' > Multiple users    <p> Signed in as Owner </p> </div><div id=3 class='' > Rules    <p> 0 rules </p> </div><div id=4 class='' > System update    <p> Updated to Android 14 </p> </div><div id=5 class='' > Backup </div><div id=6 class='' > Date & time    <p> GMT+08:00 China Standard Time </p> </div><div id=7 class='' > Gestures </div><div id=8 class='' > Navigation mode    <p> Gesture navigation </p> </div><div id=9 class='' > Live Translate    <p> On </p> </div><div id=10 class='' > Keyboard    <p> On-screen keyboard;; physical keyboard;; tools </p> </div><div id=11 class='' >  </div><div id=12 class='' description='Navigate up'>  </div>,Settings page of the Android system
<div id=1 class='' > Reset options </div><div id=2 class='' > Multiple users    <p> Signed in as Owner </p> </div><div id=3 class='' > Rules    <p> 0 rules </p> </div><div id=4 class='' > System update    <p> Updated to Android 14 </p> </div><div id=5 class='' > Backup </div><div id=6 class='' > Date & time    <p> GMT+08:00 China Standard Time </p> </div><div id=7 class='' > Gestures </div><div id=8 class='' > Navigation mode    <p> Gesture navigation </p> </div><div id=9 class='' > Live Translate    <p> On </p> </div><div id=10 class='' > Keyboard    <p> On-screen keyboard;; physical keyboard;; tools </p> </div><div id=11 class='' >  </div><div id=12 class='' description='Navigate up'>  </div>,Action: Click on <div id=1 class='' > Reset options </div>,<div id=1 class='' > Erase all data (factory reset) </div><div id=2 class='' > Reset app preferences </div><div id=3 class='' > Reset Bluetooth & Wi‑Fi </div><div id=4 class='' > Reset Mobile Network Settings </div><div id=5 class='' description='Navigate up'>  </div>,Reset settings page of the device
<div id=1 class='' > Erase all data (factory reset) </div><div id=2 class='' > Reset app preferences </div><div id=3 class='' > Reset Bluetooth & Wi‑Fi </div><div id=4 class='' > Reset Mobile Network Settings </div><div id=5 class='' description='Navigate up'>  </div>,Action: Click on <div id=4 class='' > Reset Mobile Network Settings </div>,<div id=1 class='com.android.settings:id/initiate_reset_network' > Reset settings </div><div id=2 class='' description='Navigate up'>  </div>,Settings page with an option to reset network settings
<div id=1 class='com.android.settings:id/initiate_reset_network' > Reset settings </div><div id=2 class='' description='Navigate up'>  </div>,Action: Click on <div id=1 class='com.android.settings:id/initiate_reset_network' > Reset settings </div>,<div id=1 class='com.android.settings:id/execute_reset_network' > Reset settings </div><div id=2 class='' description='Navigate up'>  </div>,Network settings page of the Android system
<div id=1 class='' > Tips & support    <p> Help articles;; phone & chat </p> </div><div id=2 class='' > About emulated device    <p> sdk_gphone64_arm64 </p> </div><div id=3 class='' > System    <p> Languages;; gestures;; time;; backup </p> </div><div id=4 class='' > Google    <p> Services & preferences </p> </div><div id=5 class='' > Digital Wellbeing & parental controls    <p> Screen time;; app timers;; bedtime schedules </p> </div><div id=6 class='' > Passwords & accounts    <p> Saved passwords;; autofill;; synced accounts </p> </div><div id=7 class='' > Safety & emergency    <p> Emergency SOS;; medical info;; alerts </p> </div><div id=8 class='' > Location    <p> On - 4 apps have access to location </p> </div><div id=9 class='com.android.settings:id/search_action_bar' > Search settings </div>,Action: Click on <div id=7 class='' > Safety & emergency    <p> Emergency SOS;; medical info;; alerts </p> </div>,<div id=1 class='' > Wireless emergency alerts </div><div id=2 class='' > Earthquake alerts    <p> On </p> </div><div id=3 class='' > Emergency Location Service    <p> On </p> </div><div id=4 class='' > Emergency SOS    <p> On </p> </div><div id=5 class='' > Emergency information </div><div id=6 class='' description='Navigate up'>  </div>,Emergency settings page of a device
<div id=1 class='' >  </div><div id=2 class='' > System update    <p> Updated to Android 14 </p> </div><div id=3 class='' > Backup </div><div id=4 class='' > Date & time    <p> GMT+08:00 China Standard Time </p> </div><div id=5 class='' > Gestures </div><div id=6 class='' > Navigation mode    <p> Gesture navigation </p> </div><div id=7 class='' > Live Translate    <p> On </p> </div><div id=8 class='' > Keyboard    <p> On-screen keyboard;; physical keyboard;; tools </p> </div><div id=9 class='' > Languages    <p> System languages;; app languages;; speech </p> </div><div id=10 class='' description='Navigate up'>  </div>,Action: Click on <div id=5 class='' > Gestures </div>,"<div id=1 class='' description='Prevent ringing'> Prevent ringing    <p> To enable;; first change ""Press & hold power button"" to the power menu. </p>    <switch id=2 class='com.android.settings:id/switchWidget' clickable> Off </switch> </div><div id=3 class='' > Press & hold power button    <p> Access digital assistant </p> </div><div id=4 class='' > Quickly open camera    <p> On </p> </div><div id=5 class='' description='Navigate up'>  </div>",Settings page where you can adjust phone functionalities
